GENUS;FAMILIE
Abies;Pinaceae
Abutilon;Malvaceae
Acacia;Fabaceae
Acalypha;Euphorbiaceae
Acer;Aceraceae
Aceras;Orchidaceae
Achillea;Asteraceae
Achnatherum;Poaceae
Acinos;Lamiaceae
Aconitum;Ranunculaceae
Acorus;Araceae
Acroptilon;Asteraceae
Actaea;Ranunculaceae
Adenophora;Campanulaceae
Adenostyles;Asteraceae
Adiantum;Adiantaceae
Adonis;Ranunculaceae
Adoxa;Adoxaceae
Aegilops;Poaceae
Aegopodium;Apiaceae
Aesculus;Hippocastanaceae
Aethionema;Brassicaceae
Aethusa;Apiaceae
Agave;Agavaceae
Ageratum;Asteraceae
Agrimonia;Rosaceae
Agropyron;Poaceae
Agrostemma;Caryophyllaceae
Agrostis;Poaceae
Ailanthus;Simaroubaceae
Aira;Poaceae
Ajuga;Lamiaceae
Alcea;Malvaceae
Alchemilla;Rosaceae
Aldrovanda;Droseraceae
Alisma;Alismataceae
Alliaria;Brassicaceae
Allium;Liliaceae
Alnus;Betulaceae
Alopecurus;Poaceae
Althaea;Malvaceae
Alyssoides;Brassicaceae
Alyssum;Brassicaceae
Amaranthus;Amaranthaceae
Ambrosia;Asteraceae
Amelanchier;Rosaceae
Ammi;Apiaceae
Ammophila;Poaceae
Amorpha;Fabaceae
Amsinckia;Scrophulariaceae
Anacamptis;Orchidaceae
Anacyclus;Asteraceae
Anagallis;Primulaceae
Anarrhinum;Scrophulariaceae
Anchusa;Boraginaceae
Andromeda;Ericaceae
Androsace;Primulaceae
Anemone;Ranunculaceae
Anethum;Apiaceae
Angelica;Apiaceae
Anogramma;Hemionitidaceae
Antennaria;Asteraceae
Anthemis;Asteraceae
Anthericum;Liliaceae
Anthoxanthum;Poaceae
Anthoxantum;Poaceae
Anthriscus;Apiaceae
Anthyllis;Fabaceae
Antirrhinum;Scrophulariaceae
Apera;Poaceae
Aphanes;Rosaceae
Aphyllanthes;Liliaceae
Apium;Apiaceae
Aposeris;Asteraceae
Aquilegia;Ranunculaceae
Arabidopsis;Brassicaceae
Arabis;Brassicaceae
Arctium;Asteraceae
